Group,Point,X,Y,Z
1,1,-52.2574,29.4816,0.0
1,2,-52.5743,33.5125,0.0
1,3,-52.6851,37.5444,0.0
1,4,-52.5988,41.5672,0.0
1,5,-52.3245,45.5720,0.0
1,6,-51.8706,49.5511,0.0
1,7,-51.2455,53.4975,0.0
1,8,-50.4574,57.4054,0.0
1,9,-49.5139,61.2695,0.0
1,10,-48.4227,65.0853,0.0
1,11,-47.1908,68.8489,0.0
1,12,-45.8252,72.5568,0.0
1,13,-44.3325,76.2063,0.0
1,14,-42.7189,79.7947,0.0
1,15,-40.9906,83.3200,0.0
1,16,-39.1534,86.7804,0.0
1,17,-37.2126,90.1744,0.0
1,18,-35.1737,93.5009,0.0
1,19,-33.0416,96.7588,0.0
1,20,-30.8212,99.9475,0.0
1,21,-28.5169,103.0664,0.0
1,22,-26.1332,106.1151,0.0
1,23,-23.6743,109.0934,0.0
1,24,-21.1440,112.0012,0.0
1,25,-18.5463,114.8386,0.0
1,26,-15.8847,117.6056,0.0
1,27,-13.1627,120.3025,0.0
1,28,-10.3835,122.9296,0.0
1,29,-7.5503,125.4873,0.0
1,30,-4.6661,127.9762,0.0
1,31,-1.7337,130.3966,0.0
1,32,1.2442,132.7493,0.0
1,33,4.2648,135.0347,0.0
1,34,7.3259,137.2536,0.0
1,35,10.4250,139.4067,0.0
1,36,13.5598,141.4946,0.0
1,37,16.7282,143.5182,0.0
1,38,19.9282,145.4782,0.0
1,39,23.1578,147.3753,0.0
1,40,26.4151,149.2105,0.0
1,41,29.6983,150.9845,0.0
1,42,33.0058,152.6981,0.0
1,43,36.3359,154.3522,0.0
1,44,39.6870,155.9476,0.0
1,45,43.0577,157.4852,0.0
1,46,46.4466,158.9658,0.0
1,47,49.8523,160.3903,0.0
1,48,53.2735,161.7594,0.0
1,49,56.7091,163.0741,0.0
1,50,60.1577,164.3352,0.0
2,1,-51.6605,-30.5154,0.0
2,2,-55.3098,-28.7744,0.0
2,3,-58.8569,-26.8544,0.0
2,4,-62.2977,-24.7683,0.0
2,5,-65.6288,-22.5283,0.0
2,6,-68.8478,-20.1457,0.0
2,7,-71.9530,-17.6311,0.0
2,8,-74.9432,-14.9946,0.0
2,9,-77.8179,-12.2455,0.0
2,10,-80.5769,-9.3926,0.0
2,11,-83.2203,-6.4440,0.0
2,12,-85.7487,-3.4073,0.0
2,13,-88.1628,-0.2899,0.0
2,14,-90.4637,2.9017,0.0
2,15,-92.6525,6.1610,0.0
2,16,-94.7307,9.4824,0.0
2,17,-96.6996,12.8601,0.0
2,18,-98.5610,16.2891,0.0
2,19,-100.3164,19.7645,0.0
2,20,-101.9677,23.2819,0.0
2,21,-103.5166,26.8369,0.0
2,22,-104.9650,30.4255,0.0
2,23,-106.3148,34.0442,0.0
2,24,-107.5679,37.6893,0.0
2,25,-108.7263,41.3577,0.0
2,26,-109.7918,45.0462,0.0
2,27,-110.7663,48.7520,0.0
2,28,-111.6519,52.4724,0.0
2,29,-112.4504,56.2049,0.0
2,30,-113.1637,59.9472,0.0
2,31,-113.7936,63.6969,0.0
2,32,-114.3422,67.4521,0.0
2,33,-114.8111,71.2108,0.0
2,34,-115.2022,74.9712,0.0
2,35,-115.5172,78.7316,0.0
2,36,-115.7580,82.4904,0.0
2,37,-115.9263,86.2461,0.0
2,38,-116.0237,89.9974,0.0
2,39,-116.0519,93.7429,0.0
2,40,-116.0125,97.4814,0.0
2,41,-115.9072,101.2117,0.0
2,42,-115.7375,104.9329,0.0
2,43,-115.5050,108.6439,0.0
2,44,-115.2111,112.3438,0.0
2,45,-114.8573,116.0317,0.0
2,46,-114.4451,119.7069,0.0
2,47,-113.9759,123.3685,0.0
2,48,-113.4510,127.0159,0.0
2,49,-112.8718,130.6485,0.0
2,50,-112.2396,134.2657,0.0
3,1,0.5969,-59.9970,0.0
3,2,-2.7355,-62.2869,0.0
3,3,-6.1719,-64.3988,0.0
3,4,-9.6988,-66.3355,0.0
3,5,-13.3043,-68.1003,0.0
3,6,-16.9772,-69.6968,0.0
3,7,-20.7075,-71.1287,0.0
3,8,-24.4859,-72.4001,0.0
3,9,-28.3040,-73.5151,0.0
3,10,-32.1542,-74.4779,0.0
3,11,-36.0295,-75.2929,0.0
3,12,-39.9235,-75.9642,0.0
3,13,-43.8303,-76.4962,0.0
3,14,-47.7448,-76.8930,0.0
3,15,-51.6619,-77.1589,0.0
3,16,-55.5773,-77.2980,0.0
3,17,-59.4870,-77.3143,0.0
3,18,-63.3873,-77.2118,0.0
3,19,-67.2748,-76.9943,0.0
3,20,-71.1465,-76.6657,0.0
3,21,-74.9997,-76.2296,0.0
3,22,-78.8318,-75.6896,0.0
