,ProductCode##OTHER##,A##LENGTH##MILLIMETERS,A2##LENGTH##MILLIMETERS,A3##LENGTH##MILLIMETERS,AB##LENGTH##MILLIMETERS,AC##LENGTH##MILLIMETERS,AD##LENGTH##MILLIMETERS,AG##LENGTH##MILLIMETERS,Apparent Load##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,A-Type Code##LENGTH##MILLIMETERS,B1##LENGTH##MILLIMETERS,B2##LENGTH##MILLIMETERS,BB##LENGTH##MILLIMETERS,C##LENGTH##MILLIMETERS,Category##OTHER##,Clearance area##OTHER##,Dis_D1##LENGTH##MILLIMETERS,Dis_D3##LENGTH##MILLIMETERS,Efficiency Rating##OTHER##,Electric motor output##OTHER##,Enclosure Rating##OTHER##,Flow##PIPING_FLOW##CUBIC_METERS_PER_HOUR,FluidTempMax##PIPING_TEMPERATURE##CELSIUS,FluidTempMin##PIPING_TEMPERATURE##CELSIUS,FluidType##OTHER##,Full Load Amperes##ELECTRICAL_CURRENT##AMPERES,G1##LENGTH##MILLIMETERS,G2##LENGTH##MILLIMETERS,G3##LENGTH##MILLIMETERS,Grey##OTHER##,Gross Weight##FORCE##KILONEWTONS,H for motor##LENGTH##MILLIMETERS,H##LENGTH##MILLIMETERS,H2##LENGTH##MILLIMETERS,H3##LENGTH##MILLIMETERS,H4##LENGTH##MILLIMETERS,HA##LENGTH##MILLIMETERS,Has clearance area##OTHER##,Head##PIPING_PRESSURE##BARS,L##LENGTH##MILLIMETERS,L1##LENGTH##MILLIMETERS,L2##LENGTH##MILLIMETERS,L3##LENGTH##MILLIMETERS,L4##LENGTH##MILLIMETERS,LB##LENGTH##MILLIMETERS,Light blcak##OTHER##,Light red##OTHER##,LL##LENGTH##MILLIMETERS,Load Classification##OTHER##,M1##LENGTH##MILLIMETERS,Maximum ambient temperature at maximum temperature of pumped medium##OTHER##,Maximum Motor Power Rating##ELECTRICAL_APPARENT_POWER##KILOWATTS,Maximum Operating Temperature##PIPING_TEMPERATURE##CELSIUS,Maximum shaft output##OTHER##,Maximum Speed##OTHER##,Maximum Starting Current##ELECTRICAL_CURRENT##AMPERES,MCA##ELECTRICAL_CURRENT##AMPERES,Minimum operating temperature##PIPING_TEMPERATURE##CELSIUS,Minimum Speed##OTHER##,MOCP##ELECTRICAL_CURRENT##AMPERES,Motor Type##OTHER##,MotorVoltageActual##ELECTRICAL_POTENTIAL##VOLTS,N1##LENGTH##MILLIMETERS,Net Weight##FORCE##KILONEWTONS,O&M Manual##OTHER##,PowerFactor##OTHER##,PumpFlowActual##PIPING_FLOW##CUBIC_METERS_PER_HOUR,PumpFlowCALC##PIPING_FLOW##CUBIC_METERS_PER_HOUR,Rated Load Amperes##ELECTRICAL_CURRENT##AMPERES,Shipping Weight##FORCE##KILONEWTONS,Show Annotative Symbol##OTHER##,Size##OTHER##,Suc_D1##LENGTH##MILLIMETERS,Suc_D3##LENGTH##MILLIMETERS,SupplyFrequency##ELECTRICAL_FREQUENCY##HERTZ,SupplyPhase##OTHER##,SupplyVoltage##ELECTRICAL_POTENTIAL##VOLTS,Switching frequency##OTHER##,T1##LENGTH##MILLIMETERS,T2##LENGTH##MILLIMETERS,V1##LENGTH##MILLIMETERS,V3##LENGTH##MILLIMETERS,V4##LENGTH##MILLIMETERS,Wattage##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,X##LENGTH##MILLIMETERS
NK 32-125.1/140_96594440,96594440,80,60,0,139,141,109,82,0,3,270,360,110,45,0,Clearance Areas,32,140,IE2,0.37,F,11.2,120,0,0,1.05,117,117,0,Grey,0.92,71,65,140,177,286,3,1,0.51156,753,800,130,540,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,190,0.78,http://product-selection.grundfos.com/product-detail.html?productnumber=96594440&custid=GMA,0.94,11.2,11.2,1.05,0.92,1,249,50,165,50,3,380,50,20,15,0,0,0,370,100
NK 32-125/142_96594447,96594447,80,60,0,139,141,109,82,0,3,270,360,110,45,0,Clearance Areas,32,140,IE2,0.37,F,13.13,120,0,0,1.05,117,117,0,Grey,0.92,71,65,140,177,286,3,1,0.539,667,704,130,444,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,190,0.78,http://product-selection.grundfos.com/product-detail.html?productnumber=96594447&custid=GMA,0.94,13.13,13.13,1.05,0.92,1,249,50,165,50,3,380,50,20,15,0,0,0,370,100
NK 32-125/142_96594448,96594448,80,60,0,139,141,109,82,0,3,270,360,110,45,0,Clearance Areas,32,140,IE2,0.37,F,13.13,120,0,0,1.05,117,117,0,Grey,0.92,71,65,140,177,286,3,1,0.539,753,800,130,540,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,190,0.78,http://product-selection.grundfos.com/product-detail.html?productnumber=96594448&custid=GMA,0.94,13.13,13.13,1.05,0.92,1,249,50,165,50,3,380,50,20,15,0,0,0,370,100
NK 32-160.1/172_96594455,96594455,80,60,0,139,141,109,82,0,3,340,450,110,45,0,Clearance Areas,32,140,IE2,0.37,F,9.85,120,0,0,1.05,117,123,0,Grey,1.12,71,80,160,212,321,3,1,0.739998,667,929,170,589,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,240,0.99,http://product-selection.grundfos.com/product-detail.html?productnumber=96594455&custid=GMA,0.93,9.85,9.85,1.05,1.12,1,279,50,165,50,3,380,50,20,15,0,0,0,370,100
NK 32-160.1/172_96594456,96594456,80,60,0,139,141,109,82,0,3,340,450,110,45,0,Clearance Areas,32,140,IE2,0.37,F,9.85,120,0,0,1.05,117,123,0,Grey,1.11,71,80,160,212,321,3,1,0.739998,753,1000,170,660,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,240,0.97,http://product-selection.grundfos.com/product-detail.html?productnumber=96594456&custid=GMA,0.93,9.85,9.85,1.05,1.11,1,279,50,165,50,3,380,50,20,15,0,0,0,370,100
NK 32-160.1/177_96594463,96594463,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,10.63,120,0,0,1.26,117,123,0,Grey,1.18,80,80,160,212,333,8,1,0.850542,688,929,170,589,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.04,http://product-selection.grundfos.com/product-detail.html?productnumber=96594463&custid=GMA,0.93,10.63,10.63,1.26,1.18,1,279,50,165,50,3,380,50,20,15,0,0,0,550,100
NK 32-160.1/177_96594464,96594464,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,10.63,120,0,0,1.26,117,123,0,Grey,1.17,80,80,160,212,333,8,1,0.850542,784,1000,170,660,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.03,http://product-selection.grundfos.com/product-detail.html?productnumber=96594464&custid=GMA,0.93,10.63,10.63,1.26,1.17,1,279,50,165,50,3,380,50,20,15,0,0,0,550,100
NK 32-160/170_96594471,96594471,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,14.7,120,0,0,1.26,117,125,0,Grey,1.18,80,80,160,212,333,8,1,0.77322,688,929,170,589,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.04,http://product-selection.grundfos.com/product-detail.html?productnumber=96594471&custid=GMA,0.93,14.7,14.7,1.26,1.18,1,279,50,165,50,3,380,50,20,15,0,0,0,550,100
NK 32-160/170_96594472,96594472,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,14.7,120,0,0,1.26,117,125,0,Grey,1.17,80,80,160,212,333,8,1,0.77322,784,1000,170,660,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.03,http://product-selection.grundfos.com/product-detail.html?productnumber=96594472&custid=GMA,0.93,14.7,14.7,1.26,1.17,1,279,50,165,50,3,380,50,20,15,0,0,0,550,100
NK 32-200.1/175_96594487,96594487,80,60,0,139,141,109,82,0,3,340,450,110,45,0,Clearance Areas,32,140,IE2,0.37,F,8.69,120,0,0,1.05,135,137,0,Grey,1.2,71,80,180,240,349,3,1,0.66689,666.5,929,170,589,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,240,1.07,http://product-selection.grundfos.com/product-detail.html?productnumber=96594487&custid=GMA,0.93,8.69,8.69,1.05,1.2,1,306,50,165,50,3,380,50,20,15,0,0,0,370,100
